;Country_ID;city;EWP;coorX;coordY;Continent_Name;Country_Name
1588;USA;NY Poughkeepsie-Dutchess;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Poughkeepsie-Dutchess.County.AP.725036_TMY3/USA_NY_Poughkeepsie-Dutchess.County.AP.725036_TMY3.epw;-73.88;41.63;North America;United States of America
1589;USA;NY Niagara;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Niagara.Falls.Intl.AP.725287_TMY3/USA_NY_Niagara.Falls.Intl.AP.725287_TMY3.epw;-78.95;43.1;North America;United States of America
1590;USA;NY Republic;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Republic.AP.744864_TMY3/USA_NY_Republic.AP.744864_TMY3.epw;-73.42;40.72;North America;United States of America
1591;USA;NY Syracuse-Hancock;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Syracuse-Hancock.Intl.AP.725190_TMY3/USA_NY_Syracuse-Hancock.Intl.AP.725190_TMY3.epw;-76.1;43.12;North America;United States of America
1592;USA;NY Rochester-Greater;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Rochester-Greater.Rochester.Intl.AP.725290_TMY3/USA_NY_Rochester-Greater.Rochester.Intl.AP.725290_TMY3.epw;-77.68;43.12;North America;United States of America
1593;USA;NY Albany;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Albany.County.AP.725180_TMY/USA_NY_Albany.County.AP.725180_TMY.epw;-73.8;42.75;North America;United States of America
1594;USA;NY Watertown;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Watertown.AP.726227_TMY3/USA_NY_Watertown.AP.726227_TMY3.epw;-76.02;44.0;North America;United States of America
1595;USA;NY New;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_New.York-Central.Park.725033_TMY3/USA_NY_New.York-Central.Park.725033_TMY3.epw;-73.97;40.78;North America;United States of America
1596;USA;NY Binghamton-Edwin;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Binghamton-Edwin.A.Link.Field.725150_TMY3/USA_NY_Binghamton-Edwin.A.Link.Field.725150_TMY3.epw;-75.98;42.2;North America;United States of America
1597;USA;NY Islip-Long;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/NY/USA_NY_Islip-Long.Island.MacArthur.AP.725035_TMY3/USA_NY_Islip-Long.Island.MacArthur.AP.725035_TMY3.epw;-73.1;40.78;North America;United States of America
